Date,Product,Sales,Region
28/04/2015,Biscuits,3500,Hyderabad
07/12/2015,Ice Cream,1000,Hyderabad
18/02/2015,Wafers,1500,Hyderabad
28/06/2016,Biscuits,4500,Hyderabad
21/02/2014,Chocolates,4000,Hyderabad
29/12/2015,Ice Cream,8500,Hyderabad
02/01/2015,Wafers,8500,Hyderabad
05/09/2015,Chocolates,500,Hyderabad
10/07/2014,Wafers,8000,Hyderabad
13/01/2016,Wafers,5000,Hyderabad
11/02/2016,Wafers,4000,Hyderabad
20/03/2016,Wafers,4500,Hyderabad
23/01/2016,Chocolates,6000,Hyderabad
13/03/2014,Wafers,4500,Hyderabad
23/11/2015,Chocolates,7000,Hyderabad
24/11/2015,Wafers,1000,Hyderabad
18/06/2015,Ice Cream,7500,Hyderabad
07/08/2016,Ice Cream,7000,Hyderabad
17/07/2014,Wafers,1500,Hyderabad
04/04/2014,Wafers,2500,Hyderabad
09/07/2015,Wafers,8500,Hyderabad
10/05/2014,Biscuits,4000,Hyderabad
17/02/2016,Wafers,8000,Hyderabad
10/03/2015,Chocolates,3000,Hyderabad
12/06/2014,Wafers,1500,Hyderabad
26/04/2014,Chocolates,3500,Hyderabad
04/07/2016,Wafers,9500,Hyderabad
25/05/2016,Wafers,1000,Hyderabad
28/08/2015,Wafers,7000,Hyderabad
27/06/2015,Chocolates,8000,Hyderabad
27/06/2016,Biscuits,2500,Hyderabad
15/11/2015,Ice Cream,5000,Hyderabad
20/11/2015,Ice Cream,7500,Hyderabad
15/02/2014,Biscuits,1000,Hyderabad
06/01/2015,Wafers,5500,Hyderabad
14/02/2015,Chocolates,2500,Hyderabad
19/06/2014,Chocolates,3000,Hyderabad
12/09/2015,Ice Cream,500,Hyderabad
18/03/2015,Wafers,9000,Hyderabad
15/01/2015,Chocolates,500,Hyderabad
20/04/2016,Wafers,6000,Hyderabad
09/02/2016,Biscuits,6000,Hyderabad
20/04/2016,Biscuits,9500,Hyderabad
12/11/2015,Biscuits,2500,Hyderabad
08/11/2014,Wafers,4000,Hyderabad
31/01/2015,Ice Cream,1500,Hyderabad
11/05/2015,Chocolates,4500,Hyderabad
20/03/2015,Biscuits,9000,Hyderabad
20/05/2015,Ice Cream,1500,Hyderabad
18/09/2014,Ice Cream,2000,Hyderabad
17/12/2014,Chocolates,3500,Hyderabad
05/12/2015,Wafers,1500,Hyderabad
01/02/2016,Wafers,8500,Hyderabad
14/12/2014,Wafers,3500,Hyderabad
28/04/2016,Biscuits,7000,Hyderabad
14/05/2014,Chocolates,9500,Hyderabad
28/08/2014,Chocolates,6500,Hyderabad
09/12/2014,Biscuits,10000,Hyderabad
28/11/2015,Biscuits,8500,Hyderabad
02/08/2014,Biscuits,5500,Hyderabad
06/08/2014,Chocolates,2000,Hyderabad
19/03/2016,Ice Cream,5500,Hyderabad
30/04/2016,Ice Cream,5500,Hyderabad
25/02/2016,Biscuits,8500,Hyderabad
08/05/2016,Biscuits,3000,Hyderabad
09/09/2014,Wafers,5500,Hyderabad
03/05/2014,Wafers,7000,Hyderabad
30/03/2014,Ice Cream,5500,Hyderabad
03/08/2015,Chocolates,5000,Hyderabad
18/07/2016,Biscuits,9000,Hyderabad
30/04/2015,Ice Cream,9000,Hyderabad
07/12/2015,Biscuits,1000,Hyderabad
06/08/2016,Biscuits,1000,Hyderabad
29/09/2015,Wafers,500,Hyderabad
06/09/2015,Ice Cream,7500,Hyderabad
11/08/2015,Chocolates,500,Hyderabad
03/06/2016,Biscuits,1000,Hyderabad
03/10/2014,Wafers,3500,Hyderabad
08/02/2014,Biscuits,500,Hyderabad
19/02/2014,Biscuits,8000,Hyderabad
13/04/2016,Ice Cream,9000,Hyderabad
04/07/2014,Wafers,9500,Hyderabad
07/04/2014,Ice Cream,2500,Hyderabad
04/03/2015,Biscuits,4500,Hyderabad
09/02/2016,Biscuits,6000,Hyderabad
07/05/2016,Wafers,6000,Hyderabad
07/07/2014,Ice Cream,1000,Hyderabad
16/11/2014,Biscuits,8000,Hyderabad
23/01/2016,Chocolates,3500,Hyderabad
21/11/2014,Ice Cream,6500,Hyderabad
07/10/2014,Ice Cream,6500,Hyderabad
04/01/2016,Biscuits,7000,Hyderabad
11/11/2014,Biscuits,8000,Hyderabad
20/08/2014,Biscuits,6500,Hyderabad
08/09/2015,Chocolates,7500,Hyderabad
09/03/2016,Wafers,1500,Hyderabad
06/05/2014,Chocolates,4500,Hyderabad
17/11/2015,Chocolates,7000,Hyderabad
17/02/2016,Wafers,500,Hyderabad
11/03/2015,Wafers,4500,Hyderabad
